From https://www.w3schools.com/tags/ref_colornames.asp,,
Name,Hex,Used
AliceBlue,#F0F8FF,yes
AntiqueWhite,#FAEBD7,yes
Aqua,#00FFFF,yes
Aquamarine,#7FFFD4,yes
Azure,#F0FFFF,yes
Beige,#F5F5DC,yes
Bisque,#FFE4C4,yes
Black,#000000,yes
BlanchedAlmond,#FFEBCD,yes
Blue,#0000FF,yes
BlueViolet,#8A2BE2,yes
Brown,#A52A2A,yes
BurlyWood,#DEB887,yes
CadetBlue,#5F9EA0,yes
Chartreuse,#7FFF00,yes
Chocolate,#D2691E,yes
Coral,#FF7F50,yes
CornflowerBlue,#6495ED,yes
Cornsilk,#FFF8DC,yes
Crimson,#DC143C,yes
Cyan,#00FFFF,yes
DarkBlue,#00008B,yes
DarkCyan,#008B8B,yes
DarkGoldenRod,#B8860B,yes
DarkGray,#A9A9A9,yes
DarkGreen,#006400,yes
DarkKhaki,#BDB76B,yes
DarkMagenta,#8B008B,yes
DarkOliveGreen,#556B2F,yes
DarkOrange,#FF8C00,yes
DarkOrchid,#9932CC,yes
DarkRed,#8B0000,yes
DarkSalmon,#E9967A,yes
DarkSeaGreen,#8FBC8F,yes
DarkSlateBlue,#483D8B,yes
DarkSlateGray,#2F4F4F,yes
DarkTurquoise,#00CED1,yes
DarkViolet,#9400D3,yes
DeepPink,#FF1493,yes
DeepSkyBlue,#00BFFF,yes
DimGray,#696969,yes
DodgerBlue,#1E90FF,yes
FireBrick,#B22222,yes
FloralWhite,#FFFAF0,yes
ForestGreen,#228B22,yes
Fuchsia,#FF00FF,yes
Gainsboro,#DCDCDC,yes
GhostWhite,#F8F8FF,
Gold,#FFD700,yes
GoldenRod,#DAA520,yes
Gray,#808080,yes
Grey,#808080,yes
Green,#008000,yes
GreenYellow,#ADFF2F,yes
HoneyDew,#F0FFF0,yes
HotPink,#FF69B4,yes
IndianRed,#CD5C5C,yes
Indigo,#4B0082,yes
Ivory,#FFFFF0,yes
Khaki,#F0E68C,yes
Lavender,#E6E6FA,yes
LavenderBlush,#FFF0F5,yes
LawnGreen,#7CFC00,yes
LemonChiffon,#FFFACD,
LightBlue,#ADD8E6,Yes
LightCoral,#F08080,
LightCyan,#E0FFFF,
LightGoldenRodYellow,#FAFAD2,Yes
LightGray,#D3D3D3,Yes
LightGreen,#90EE90,
LightPink,#FFB6C1,yes
LightSalmon,#FFA07A,
LightSeaGreen,#20B2AA,
LightSkyBlue,#87CEFA,Yes
LightSlateGray,#778899,yes
LightSteelBlue,#B0C4DE,yes
LightYellow,#FFFFE0,
Lime,#00FF00,yes
LimeGreen,#32CD32,yes
Linen,#FAF0E6,yes
Magenta,#FF00FF,yes
Maroon,#800000,yes
MediumAquaMarine,#66CDAA,yes
MediumBlue,#0000CD,yes
MediumOrchid,#BA55D3,yes
MediumPurple,#9370DB,yes
MediumSeaGreen,#3CB371,yes
MediumSlateBlue,#7B68EE,yes
MediumSpringGreen,#00FA9A,yes
MediumTurquoise,#48D1CC,yes
MediumVioletRed,#C71585,yes
MidnightBlue,#191970,yes
MintCream,#F5FFFA,
MistyRose,#FFE4E1,
Moccasin,#FFE4B5,yes
NavajoWhite,#FFDEAD,
Navy,#000080,Yes
OldLace,#FDF5E6,
Olive,#808000,yes
OliveDrab,#6B8E23,yes
Orange,#FFA500,yes
OrangeRed,#FF4500,yes
Orchid,#DA70D6,yes
PaleGoldenRod,#EEE8AA,yes
PaleGreen,#98FB98,yes
PaleTurquoise,#AFEEEE,yes
PaleVioletRed,#DB7093,yes
PapayaWhip,#FFEFD5,
PeachPuff,#FFDAB9,
Peru,#CD853F,yes
Pink,#FFC0CB,yes
Plum,#DDA0DD,yes
PowderBlue,#B0E0E6,yes
Purple,#800080,yes
RebeccaPurple,#663399,
Red,#FF0000,yes
RosyBrown,#BC8F8F,yes
RoyalBlue,#4169E1,yes
SaddleBrown,#8B4513,yes
Salmon,#FA8072,
SandyBrown,#F4A460,yes
SeaGreen,#2E8B57,yes
SeaShell,#FFF5EE,
Sienna,#A0522D,yes
Silver,#C0C0C0,yes
SkyBlue,#87CEEB,yes
SlateBlue,#6A5ACD,yes
SlateGray,#708090,yes
SlateGrey,#708090,
Snow,#FFFAFA,yes
SpringGreen,#00FF7F,yes
SteelBlue,#4682B4,yes
Tan,#D2B48C,yes
Teal,#008080,yes
Thistle,#D8BFD8,yes
Tomato,#FF6347,yes
Turquoise,#40E0D0,yes
Violet,#EE82EE,yes
Wheat,#F5DEB3,yes
White,#FFFFFF,yes
WhiteSmoke,#F5F5F5,yes
Yellow,#FFFF00,yes
YellowGreen,#9ACD32,yes
