service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Daily-1,1,1,1,1,1,1,1,20231130,20240109
Daily-2,1,1,1,1,1,1,1,20231130,20231130
Daily-3,1,1,1,1,1,1,1,20231130,20240109
ExSat-1,1,1,1,1,1,0,1,20231130,20240109
ExSun-1,1,1,1,1,1,1,0,20231130,20240109
FriSat-1,0,0,0,0,1,1,0,20231130,20240109
FriSat-2,0,0,0,0,1,1,0,20231130,20240109
FriSat-3,0,0,0,0,1,1,0,20231130,20240109
Friday-1,0,0,0,0,1,0,0,20231130,20240109
Friday-2,0,0,0,0,1,0,0,20231201,20240109
Friday-3,0,0,0,0,1,0,0,20231130,20240109
Other-1,0,0,0,0,0,0,0,20231130,20240109
Other-10,0,0,0,0,0,0,0,20231130,20240109
Other-11,0,0,0,0,0,0,0,20231130,20240109
Other-12,0,0,0,0,0,0,0,20231130,20240109
Other-13,0,0,0,0,0,0,0,20231130,20240109
Other-14,0,0,0,0,0,0,0,20231130,20240109
Other-15,0,0,0,0,0,0,0,20231201,20240109
Other-16,0,0,0,0,0,0,0,20231130,20240109
Other-17,0,0,0,0,0,0,0,20231130,20240109
Other-18,0,0,0,0,0,0,0,20231130,20240109
Other-19,0,0,0,0,0,0,0,20231130,20240109
Other-2,0,0,0,0,0,0,0,20231130,20240109
Other-20,0,0,0,0,0,0,0,20231130,20240109
Other-21,0,0,0,0,0,0,0,20231130,20240109
Other-22,0,0,0,0,0,0,0,20231201,20240109
Other-23,0,0,0,0,0,0,0,20231130,20240109
Other-24,0,0,0,0,0,0,0,20231130,20240109
Other-25,0,0,0,0,0,0,0,20231130,20240109
Other-26,0,0,0,0,0,0,0,20231130,20240109
Other-27,0,0,0,0,0,0,0,20231130,20240109
Other-28,0,0,0,0,0,0,0,20231130,20240109
Other-29,0,0,0,0,0,0,0,20231130,20240109
Other-3,0,0,0,0,0,0,0,20231130,20240109
Other-30,0,0,0,0,0,0,0,20231209,20240109
Other-4,0,0,0,0,0,0,0,20231130,20240109
Other-5,0,0,0,0,0,0,0,20231130,20240109
Other-6,0,0,0,0,0,0,0,20231130,20240109
Other-7,0,0,0,0,0,0,0,20231130,20240109
Other-8,0,0,0,0,0,0,0,20231130,20240109
Other-9,0,0,0,0,0,0,0,20231130,20240109
Saturday-1,0,0,0,0,0,1,0,20231130,20240109
Saturday-2,0,0,0,0,0,1,0,20231130,20240109
Saturday-3,0,0,0,0,0,1,0,20231130,20240109
Saturday-4,0,0,0,0,0,1,0,20231130,20240109
Sunday-1,0,0,0,0,0,0,1,20231130,20240109
Thursday-1,0,0,0,1,0,0,0,20231130,20240109
Wednesday-1,0,0,1,0,0,0,0,20231130,20240109
Wednesday-2,0,0,1,0,0,0,0,20231130,20240109
Weekday-1,1,1,1,1,1,0,0,20231130,20240109
Weekday-2,1,1,1,1,1,0,0,20231130,20240109
Weekday-3,1,1,1,1,1,0,0,20231130,20240109
Weekday-4,1,1,1,1,1,0,0,20231130,20240109
Weekday-5,1,1,1,1,1,0,0,20231201,20240109
Weekday-6,1,1,1,1,1,0,0,20231130,20240109
Weekend-1,0,0,0,0,0,1,1,20231130,20240109
Weekend-2,0,0,0,0,0,1,1,20231130,20240109
Weekend-3,0,0,0,0,0,1,1,20231130,20240109
Weekend-4,0,0,0,0,0,1,1,20231130,20240109
WkExFri-1,1,1,1,1,0,0,0,20231130,20240109
WkExFri-2,1,1,1,1,0,0,0,20231130,20240109
WkExTues-1,1,0,1,1,1,0,0,20231130,20240109
